Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_eaves,,Its job is to shed rain at the edge of a building. Not flashy but important.,建物の端で雨を受け流す役目。目立たないが重要。,在屋檐边把雨水导走的工作，不显眼却重要。,在屋簷邊把雨水導走的工作，不顯眼卻重要。,Its job is to shed rain at the edge of a building. Not flashy but important.,Its job is to shed rain at the edge of a building. Not flashy but important.,Its job is to shed rain at the edge of a building. Not flashy but important.,Its job is to shed rain at the edge of a building. Not flashy but important.,Su trabajo es desviar la lluvia en el borde del edificio. No llama la atención pero es importante.,Its job is to shed rain at the edge of a building. Not flashy but important.,"Её работа — отводить дождь у края здания. Не бросается в глаза, но важно."
desc_public_phone,,A box for waiting. Now it only connects to memories.,待つための箱。今は思い出しかつながらない。,等待用的箱子，现在只能连到回忆。,等待用的箱子，現在只能連到回憶。,A box for waiting. Now it only connects to memories.,A box for waiting. Now it only connects to memories.,A box for waiting. Now it only connects to memories.,A box for waiting. Now it only connects to memories.,Una cabina para esperar. Ahora solo conecta con recuerdos.,A box for waiting. Now it only connects to memories.,Кабина для ожидания. Теперь соединяет только с воспоминаниями.
desc_noren_yu,,A cloth that carries presence with steam. What's inside is up to imagination.,湯気と一緒に気配を伝える布。中の様子は想像任せ。,随蒸汽传递气息的布帘，里面怎么样全靠想象。,隨蒸汽傳遞氣息的布簾，裡面怎麼樣全靠想像。,A cloth that carries presence with steam. What's inside is up to imagination.,A cloth that carries presence with steam. What's inside is up to imagination.,A cloth that carries presence with steam. What's inside is up to imagination.,A cloth that carries presence with steam. What's inside is up to imagination.,Una tela que transmite presencia junto al vapor. Lo que hay dentro queda a la imaginación.,A cloth that carries presence with steam. What's inside is up to imagination.,"Полотно, передающее присутствие вместе с паром. Что внутри — дело воображения."
desc_noren_oden,,The good smell arrives first. Cruel to an empty stomach.,いい匂いだけ先に出てくる。空腹には酷。,好味道先出来，对空腹很残酷。,好味道先出來，對空腹很殘酷。,The good smell arrives first. Cruel to an empty stomach.,The good smell arrives first. Cruel to an empty stomach.,The good smell arrives first. Cruel to an empty stomach.,The good smell arrives first. Cruel to an empty stomach.,El buen olor llega primero. Cruel para el estómago vacío.,The good smell arrives first. Cruel to an empty stomach.,Хороший запах приходит первым. Жестоко для пустого живота.
desc_noren_ramen,,Its presence suddenly rises at night. It demands a choice.,夜になると急に存在感を出す。選択を迫ってくる。,夜里突然有存在感，逼你做选择。,夜裡突然有存在感，逼你做選擇。,Its presence suddenly rises at night. It demands a choice.,Its presence suddenly rises at night. It demands a choice.,Its presence suddenly rises at night. It demands a choice.,Its presence suddenly rises at night. It demands a choice.,Su presencia se intensifica de noche. Te obliga a elegir.,Its presence suddenly rises at night. It demands a choice.,Его присутствие резко усиливается ночью. Требует выбора.
desc_blinds_small,,Blocking just a little brings calm. It cuts the gaze too.,小さく遮るだけで落ち着く。視線も一緒に切る。,稍微遮住就会安心，也把视线切断。,稍微遮住就會安心，也把視線切斷。,Blocking just a little brings calm. It cuts the gaze too.,Blocking just a little brings calm. It cuts the gaze too.,Blocking just a little brings calm. It cuts the gaze too.,Blocking just a little brings calm. It cuts the gaze too.,Bloquear un poco ya trae calma. También corta las miradas.,Blocking just a little brings calm. It cuts the gaze too.,Даже немного закрыть — и спокойнее. Взгляд тоже отсекается.
desc_blinds_medium,,Hides just enough and shows just enough. A life balancer.,ほどよく隠してほどよく見せる。生活の調整役。,刚好遮住也刚好露出，生活的调节器。,剛好遮住也剛好露出，生活的調節器。,Hides just enough and shows just enough. A life balancer.,Hides just enough and shows just enough. A life balancer.,Hides just enough and shows just enough. A life balancer.,Hides just enough and shows just enough. A life balancer.,Oculta lo justo y muestra lo justo. Un equilibrador de vida.,Hides just enough and shows just enough. A life balancer.,Скрывает в меру и показывает в меру. Баланс жизни.
desc_blinds_large,,A size that shows firm intent to block. Separates day and night.,しっかり遮る決意のサイズ。昼と夜を分ける。,坚定遮挡的尺寸，分开白昼与夜晚。,堅定遮擋的尺寸，分開白晝與夜晚。,A size that shows firm intent to block. Separates day and night.,A size that shows firm intent to block. Separates day and night.,A size that shows firm intent to block. Separates day and night.,A size that shows firm intent to block. Separates day and night.,Un tamaño que muestra firme intención de bloquear. Separa día y noche.,A size that shows firm intent to block. Separates day and night.,Размер с решимостью закрыть. Разделяет день и ночь.
desc_curtain,,Close it and the outside feels far. Open it and reality returns.,閉めると外界が遠ざかる。開けると現実が戻る。,拉上外界变远，拉开现实归来。,拉上外界變遠，拉開現實歸來。,Close it and the outside feels far. Open it and reality returns.,Close it and the outside feels far. Open it and reality returns.,Close it and the outside feels far. Open it and reality returns.,Close it and the outside feels far. Open it and reality returns.,Ciérrala y el exterior se siente lejos. Ábrela y vuelve la realidad.,Close it and the outside feels far. Open it and reality returns.,Закроешь — и внешний мир далеко. Откроешь — реальность возвращается.
,,,,,,,,,,,,
,,,,,,,,,,,,
desc_chabudai,,A table for facing each other at a low eye level. Distance naturally shrinks.,低い目線で向き合うための机。距離が自然と縮まる。,低视线对坐的桌子，距离自然缩短。,低視線對坐的桌子，距離自然縮短。,A table for facing each other at a low eye level. Distance naturally shrinks.,A table for facing each other at a low eye level. Distance naturally shrinks.,A table for facing each other at a low eye level. Distance naturally shrinks.,A table for facing each other at a low eye level. Distance naturally shrinks.,Una mesa para mirarse a poca altura. La distancia se acorta naturalmente.,A table for facing each other at a low eye level. Distance naturally shrinks.,Стол для общения на низком уровне взгляда. Дистанция естественно сокращается.
desc_kotatsu,,Once you get in you cannot move. Winter barrier.,入った瞬間、もう動けない。冬の結界。,一钻进去就动不了，冬天的结界。,一鑽進去就動不了，冬天的結界。,Once you get in you cannot move. Winter barrier.,Once you get in you cannot move. Winter barrier.,Once you get in you cannot move. Winter barrier.,Once you get in you cannot move. Winter barrier.,"En cuanto entras, ya no puedes moverte. Barrera de invierno.",Once you get in you cannot move. Winter barrier.,Стоит залезть — и уже не можешь двигаться. Зимний барьер.
desc_tatami,,Just laying it down changes the air. Even the sound softens.,敷くだけで空気が変わる。音まで柔らかくなる。,铺上就换了空气，连声音都变软。,鋪上就換了空氣，連聲音都變軟。,Just laying it down changes the air. Even the sound softens.,Just laying it down changes the air. Even the sound softens.,Just laying it down changes the air. Even the sound softens.,Just laying it down changes the air. Even the sound softens.,Solo ponerlo cambia el aire. Incluso los sonidos se suavizan.,Just laying it down changes the air. Even the sound softens.,Просто постелишь — и воздух меняется. Даже звуки становятся мягче.
desc_fusuma,,Each open and close moves the atmosphere too.,開け閉めするたび、気配も一緒に動く。,每次开合都会带动气息。,每次開合都會帶動氣息。,Each open and close moves the atmosphere too.,Each open and close moves the atmosphere too.,Each open and close moves the atmosphere too.,Each open and close moves the atmosphere too.,Cada abrir y cerrar también mueve la atmósfera.,Each open and close moves the atmosphere too.,Каждое открытие и закрытие двигает и атмосферу.
desc_rotary_phone,,Dialing takes resolve. The call includes the waiting time.,回す動作に覚悟がいる。待つ時間も含めて通話。,转盘需要决心，等待也算在通话里。,轉盤需要決心，等待也算在通話裡。,Dialing takes resolve. The call includes the waiting time.,Dialing takes resolve. The call includes the waiting time.,Dialing takes resolve. The call includes the waiting time.,Dialing takes resolve. The call includes the waiting time.,Marcar requiere decisión. La llamada incluye el tiempo de espera.,Dialing takes resolve. The call includes the waiting time.,Набирать номер требует решимости. Звонок включает и время ожидания.
desc_kerosene_stove,,Quietly warms the room. The smell brings back winter.,静かに部屋を温める存在。匂いで冬を思い出す。,安静地暖房，气味让人想起冬天。,安靜地暖房，氣味讓人想起冬天。,Quietly warms the room. The smell brings back winter.,Quietly warms the room. The smell brings back winter.,Quietly warms the room. The smell brings back winter.,Quietly warms the room. The smell brings back winter.,Calienta la habitación en silencio. El olor recuerda al invierno.,Quietly warms the room. The smell brings back winter.,Тихо согревает комнату. Запах напоминает о зиме.
desc_kettle,,The sound of boiling water is a signal. A reason to pause for a moment.,お湯が沸く音が合図。少し立ち止まる理由になる。,水开声是信号，让人停一下的理由。,水開聲是信號，讓人停一下的理由。,The sound of boiling water is a signal. A reason to pause for a moment.,The sound of boiling water is a signal. A reason to pause for a moment.,The sound of boiling water is a signal. A reason to pause for a moment.,The sound of boiling water is a signal. A reason to pause for a moment.,El sonido del agua hirviendo es una señal. Un motivo para detenerse un momento.,The sound of boiling water is a signal. A reason to pause for a moment.,Звук закипающей воды — сигнал. Причина остановиться на мгновение.
desc_radio_cassette_player,,Music and news flow together. Strong at night.,音楽とニュースが同時に流れる。夜に強い。,音乐与新闻同时流出，夜里尤其好用。,音樂與新聞同時流出，夜裡尤其好用。,Music and news flow together. Strong at night.,Music and news flow together. Strong at night.,Music and news flow together. Strong at night.,Music and news flow together. Strong at night.,Música y noticias fluyen juntas. Fuerte por la noche.,Music and news flow together. Strong at night.,Музыка и новости звучат вместе. Ночью особенно сильна.
desc_safe,,Heavy even when empty. A lump of determination to protect.,何も入っていなくても重い。守る意志の塊。,空着也很重，守护意志的凝块。,空著也很重，守護意志的凝塊。,Heavy even when empty. A lump of determination to protect.,Heavy even when empty. A lump of determination to protect.,Heavy even when empty. A lump of determination to protect.,Heavy even when empty. A lump of determination to protect.,Pesado incluso vacío. Un bloque de determinación para proteger.,Heavy even when empty. A lump of determination to protect.,Тяжёлый даже пустым. Глыба решимости защищать.
desc_cassette_stove_with_pot,,A reassurance device combining flame and pot. Must be watched.,火と鍋が一体化した安心装置。見守り必須。,火与锅一体的安心装置，需要看守。,火與鍋一體的安心裝置，需要看守。,A reassurance device combining flame and pot. Must be watched.,A reassurance device combining flame and pot. Must be watched.,A reassurance device combining flame and pot. Must be watched.,A reassurance device combining flame and pot. Must be watched.,Un dispositivo de tranquilidad que combina fuego y olla. Requiere vigilancia.,A reassurance device combining flame and pot. Must be watched.,"Устройство спокойствия, объединяющее огонь и кастрюлю. Нужен присмотр."
desc_mandarin_set,,A box of little suns. Winter hope.,小さな太陽が集まった箱。冬の希望。,装着小太阳的箱子，冬天的希望。,裝著小太陽的箱子，冬天的希望。,A box of little suns. Winter hope.,A box of little suns. Winter hope.,A box of little suns. Winter hope.,A box of little suns. Winter hope.,Una caja de pequeños soles. Esperanza de invierno.,A box of little suns. Winter hope.,Коробка маленьких солнц. Зимняя надежда.
desc_kakejiku,,One scroll tightens the air. Its meaning hangs quietly.,一枚で空気を引き締める。意味は静かに掛かっている。,一幅就收紧空气，意义静静挂着。,一幅就收緊空氣，意義靜靜掛著。,One scroll tightens the air. Its meaning hangs quietly.,One scroll tightens the air. Its meaning hangs quietly.,One scroll tightens the air. Its meaning hangs quietly.,One scroll tightens the air. Its meaning hangs quietly.,Un solo pergamino tensa el ambiente. Su significado cuelga en silencio.,One scroll tightens the air. Its meaning hangs quietly.,Один свиток стягивает атмосферу. Его смысл тихо висит.
desc_fire_extinguisher,,Best job is not being used. A red reassurance device.,使われないのが一番の仕事。赤い安心装置。,最好就是不被使用，红色安心装置。,最好就是不被使用，紅色安心裝置。,Best job is not being used. A red reassurance device.,Best job is not being used. A red reassurance device.,Best job is not being used. A red reassurance device.,Best job is not being used. A red reassurance device.,Su mejor trabajo es no usarse. Un dispositivo rojo de tranquilidad.,Best job is not being used. A red reassurance device.,Лучшая работа — не использоваться. Красное устройство спокойствия.
desc_seasonings,,A sprinkle is enough to fix the flavor. The backstage of life.,少し振りかけるだけで味が決まる。生活の裏方。,撒一点就定味，生活的幕后。,撒一點就定味，生活的幕後。,A sprinkle is enough to fix the flavor. The backstage of life.,A sprinkle is enough to fix the flavor. The backstage of life.,A sprinkle is enough to fix the flavor. The backstage of life.,A sprinkle is enough to fix the flavor. The backstage of life.,Un poco basta para ajustar el sabor. El backstage de la vida.,A sprinkle is enough to fix the flavor. The backstage of life.,Немного — и вкус готов. Закулисье жизни.
desc_takoyaki_maker,,Waiting is more fun than grilling time. Especially on the rooftop.,焼く時間より待つ時間が楽しい。屋上では特に。,等待比烤更有趣，屋顶上尤其。,等待比烤更有趣，屋頂上尤其。,Waiting is more fun than grilling time. Especially on the rooftop.,Waiting is more fun than grilling time. Especially on the rooftop.,Waiting is more fun than grilling time. Especially on the rooftop.,Waiting is more fun than grilling time. Especially on the rooftop.,Esperar es más divertido que el tiempo de asar. Especialmente en la azotea.,Waiting is more fun than grilling time. Especially on the rooftop.,"Ждать веселее, чем жарить. Особенно на крыше."
desc_coffee_maker,,The aroma alone wakes you up. A cup of breathing room.,香りだけで目が覚める。一杯分の余裕。,光香味就能醒来，一杯的余裕。,光香味就能醒來，一杯的餘裕。,The aroma alone wakes you up. A cup of breathing room.,The aroma alone wakes you up. A cup of breathing room.,The aroma alone wakes you up. A cup of breathing room.,The aroma alone wakes you up. A cup of breathing room.,El aroma por sí solo te despierta. Un respiro en forma de taza.,The aroma alone wakes you up. A cup of breathing room.,Один аромат будит. Чашка передышки.
desc_zabuton,,Sit down and all strength drains. You won't want to stand.,座ると一気に力が抜ける。立ち上がりたくなくなる。,一坐就泄力，不想起身。,一坐就洩力，不想起身。,Sit down and all strength drains. You won't want to stand.,Sit down and all strength drains. You won't want to stand.,Sit down and all strength drains. You won't want to stand.,Sit down and all strength drains. You won't want to stand.,Te sientas y toda la fuerza se va. No quieres levantarte.,Sit down and all strength drains. You won't want to stand.,Сел — и силы сразу уходят. Не хочется вставать.
desc_floor_chair,,A choice for living close to the floor. Your gaze stays low.,床と仲良く生きるための選択。視線が低い。,与地面亲近的选择，视线很低。,與地面親近的選擇，視線很低。,A choice for living close to the floor. Your gaze stays low.,A choice for living close to the floor. Your gaze stays low.,A choice for living close to the floor. Your gaze stays low.,A choice for living close to the floor. Your gaze stays low.,Una opción para vivir cerca del suelo. La mirada queda baja.,A choice for living close to the floor. Your gaze stays low.,Выбор жить ближе к полу. Взгляд остаётся низко.
desc_kamidana,,A small presence placed high up. Wishes are made quietly.,見上げる位置にある小さな気配。お願い事は静かに。,放在高处的小小气息，许愿要安静。,放在高處的小小氣息，許願要安靜。,A small presence placed high up. Wishes are made quietly.,A small presence placed high up. Wishes are made quietly.,A small presence placed high up. Wishes are made quietly.,A small presence placed high up. Wishes are made quietly.,Una pequeña presencia en lo alto. Los deseos se hacen en silencio.,A small presence placed high up. Wishes are made quietly.,Маленькое присутствие наверху. Желания загадывают тихо.
desc_wind_chime,,When it rings you remember the season. A signal from the wind.,鳴った瞬間、季節を思い出す。風の合図。,一响就想起季节，是风的信号。,一響就想起季節，是風的信號。,When it rings you remember the season. A signal from the wind.,When it rings you remember the season. A signal from the wind.,When it rings you remember the season. A signal from the wind.,When it rings you remember the season. A signal from the wind.,"Cuando suena, recuerdas la estación. Una señal del viento.",When it rings you remember the season. A signal from the wind.,"Когда звенит, вспоминаешь сезон. Знак от ветра."
desc_water_meter,,Usually unnoticed. The numbers are honest.,普段は気にされない存在。数字だけは正直。,平时不起眼，数字却很诚实。,平時不起眼，數字卻很誠實。,Usually unnoticed. The numbers are honest.,Usually unnoticed. The numbers are honest.,Usually unnoticed. The numbers are honest.,Usually unnoticed. The numbers are honest.,Normalmente pasa desapercibido. Los números son honestos.,Usually unnoticed. The numbers are honest.,Обычно незаметен. Цифры честные.
desc_fire_alarm,,The ideal days are when it doesn't ring. A quiet watcher.,鳴らない日々が理想。静かな監視役。,不响的日子才理想，安静的守望者。,不響的日子才理想，安靜的守望者。,The ideal days are when it doesn't ring. A quiet watcher.,The ideal days are when it doesn't ring. A quiet watcher.,The ideal days are when it doesn't ring. A quiet watcher.,The ideal days are when it doesn't ring. A quiet watcher.,Los días ideales son cuando no suena. Un vigilante silencioso.,The ideal days are when it doesn't ring. A quiet watcher.,Идеальные дни — когда не звенит. Тихий сторож.
desc_drying_rack,,Spends more time hanging than not. Talking with the wind.,干されている時間のほうが長い。風と会話中。,晾着的时间更久，和风聊天中。,晾著的時間更久，和風聊天中。,Spends more time hanging than not. Talking with the wind.,Spends more time hanging than not. Talking with the wind.,Spends more time hanging than not. Talking with the wind.,Spends more time hanging than not. Talking with the wind.,Pasa más tiempo colgado que no. Conversa con el viento.,Spends more time hanging than not. Talking with the wind.,"Чаще висит, чем нет. Разговаривает с ветром."
,,,,,,,,,,,,
,,,,,,,,,,,,
desc_locker,,Open it and reunite with forgotten items. A vault of memories.,開けた瞬間、忘れていた物と再会する。記憶の保管庫。,打开就与遗忘的物品重逢，记忆的保管库。,打開就與遺忘的物品重逢，記憶的保管庫。,Open it and reunite with forgotten items. A vault of memories.,Open it and reunite with forgotten items. A vault of memories.,Open it and reunite with forgotten items. A vault of memories.,Open it and reunite with forgotten items. A vault of memories.,Lo abres y te reencuentras con cosas olvidadas. Un depósito de recuerdos.,Open it and reunite with forgotten items. A vault of memories.,Откроешь — и встретишь забытые вещи. Хранилище воспоминаний.
desc_banner,,A cloth that claims presence while swaying in the wind. It wants to say something big.,風に揺れて存在を主張する布。言いたいことは大きめ。,随风摇摆宣示存在的布，话想说很大。,隨風搖擺宣示存在的布，話想說很大。,A cloth that claims presence while swaying in the wind. It wants to say something big.,A cloth that claims presence while swaying in the wind. It wants to say something big.,A cloth that claims presence while swaying in the wind. It wants to say something big.,A cloth that claims presence while swaying in the wind. It wants to say something big.,Una tela que reclama presencia mientras se mece al viento. Quiere decir algo grande.,A cloth that claims presence while swaying in the wind. It wants to say something big.,"Полотно, заявляющее о себе, колышась на ветру. Хочет сказать что-то большое."
desc_gacha_machine,,A device that leaves fate to each turn. You can't choose the result.,回すたびに運命を委ねる装置。結果は選べない。,每转一次就交给命运的机器，结果无法选择。,每轉一次就交給命運的機器，結果無法選擇。,A device that leaves fate to each turn. You can't choose the result.,A device that leaves fate to each turn. You can't choose the result.,A device that leaves fate to each turn. You can't choose the result.,A device that leaves fate to each turn. You can't choose the result.,Un dispositivo que deja el destino a cada giro. No puedes elegir el resultado.,A device that leaves fate to each turn. You can't choose the result.,"Устройство, отдающее судьбу каждому обороту. Результат выбрать нельзя."
desc_maneki_neko,,Just placing it feels like business improves. The paw never stops.,置くだけで景気が良くなる気がする。手は止まらない。,光放着就感觉景气变好，招手不停。,光放著就感覺景氣變好，招手不停。,Just placing it feels like business improves. The paw never stops.,Just placing it feels like business improves. The paw never stops.,Just placing it feels like business improves. The paw never stops.,Just placing it feels like business improves. The paw never stops.,Con solo ponerlo parece que el negocio mejora. La pata nunca se detiene.,Just placing it feels like business improves. The paw never stops.,"Стоит поставить — и кажется, что дела идут лучше. Лапа не останавливается."
desc_lidded_trash_can,,Close the lid and you can forget reality for a moment.,ふたを閉めると現実も一度忘れられる。,盖上盖子，现实也能暂时忘掉。,蓋上蓋子，現實也能暫時忘掉。,Close the lid and you can forget reality for a moment.,Close the lid and you can forget reality for a moment.,Close the lid and you can forget reality for a moment.,Close the lid and you can forget reality for a moment.,Cierra la tapa y puedes olvidar la realidad un momento.,Close the lid and you can forget reality for a moment.,Закрыл крышку — и на мгновение забыл реальность.
desc_beer_case,,A box that holds memories that should have been cold. Usually empty.,冷えていたはずの記憶が残る箱。だいたい空。,装着本该冰凉的记忆的箱子，多半是空的。,裝著本該冰涼的記憶的箱子，多半是空的。,A box that holds memories that should have been cold. Usually empty.,A box that holds memories that should have been cold. Usually empty.,A box that holds memories that should have been cold. Usually empty.,A box that holds memories that should have been cold. Usually empty.,Una caja que guarda recuerdos que debían estar fríos. Normalmente vacía.,A box that holds memories that should have been cold. Usually empty.,"Коробка, хранящая воспоминания, которые должны быть холодными. Обычно пустая."
desc_air_conditioner_outdoor_unit,,The main unit's partner working quietly outside. Only the sound is energetic.,外で黙々と働く主役の相棒。音だけが元気。,在外面默默工作的主机搭档，只有声音很有精神。,在外面默默工作的主機搭檔，只有聲音很有精神。,The main unit's partner working quietly outside. Only the sound is energetic.,The main unit's partner working quietly outside. Only the sound is energetic.,The main unit's partner working quietly outside. Only the sound is energetic.,The main unit's partner working quietly outside. Only the sound is energetic.,El compañero de la unidad principal que trabaja fuera en silencio. Solo el sonido está enérgico.,The main unit's partner working quietly outside. Only the sound is energetic.,"Напарник основного блока, молча работающий снаружи. Энергичен лишь звук."
desc_ice_case,,A box that shines only in summer. The contents melt easily.,夏だけ輝く箱。中身は溶けやすい。,只在夏天发光的箱子，里面很容易融化。,只在夏天發光的箱子，裡面很容易融化。,A box that shines only in summer. The contents melt easily.,A box that shines only in summer. The contents melt easily.,A box that shines only in summer. The contents melt easily.,A box that shines only in summer. The contents melt easily.,Una caja que brilla solo en verano. El contenido se derrite fácilmente.,A box that shines only in summer. The contents melt easily.,"Коробка, сияющая только летом. Содержимое легко тает."
desc_clothes_drying_pole,,Hanging laundry makes you feel like you worked. Left to the wind.,干すだけで仕事をした気分になる。風任せ。,只要晾上去就像完成了工作，听风安排。,只要晾上去就像完成了工作，聽風安排。,Hanging laundry makes you feel like you worked. Left to the wind.,Hanging laundry makes you feel like you worked. Left to the wind.,Hanging laundry makes you feel like you worked. Left to the wind.,Hanging laundry makes you feel like you worked. Left to the wind.,Tender la ropa te hace sentir que trabajaste. Deja todo al viento.,Hanging laundry makes you feel like you worked. Left to the wind.,Развесил бельё — будто поработал. Дальше пусть ветер решает.
desc_small_chair,,A presence just for a quick sit. Surprisingly useful.,ちょっと座るためだけの存在。意外と重宝する。,只为小坐而存在的椅子，意外好用。,只為小坐而存在的椅子，意外好用。,A presence just for a quick sit. Surprisingly useful.,A presence just for a quick sit. Surprisingly useful.,A presence just for a quick sit. Surprisingly useful.,A presence just for a quick sit. Surprisingly useful.,Una presencia solo para sentarse un momento. Sorprendentemente útil.,A presence just for a quick sit. Surprisingly useful.,Присутствие только для быстрого присеста. Удивительно полезно.
desc_antenna,,Waits for signals toward the sky. Replies are whimsical.,空に向かって信号を待つ。返事は気まぐれ。,朝天空等信号，回应很随性。,朝天空等信號，回應很隨性。,Waits for signals toward the sky. Replies are whimsical.,Waits for signals toward the sky. Replies are whimsical.,Waits for signals toward the sky. Replies are whimsical.,Waits for signals toward the sky. Replies are whimsical.,Espera señales hacia el cielo. Las respuestas son caprichosas.,Waits for signals toward the sky. Replies are whimsical.,Ждёт сигналы в небо. Ответы капризны.
desc_vent_small,,A place that exhales a little. The building's backstory.,小さく息を吐く場所。建物の裏事情。,小小吐气的地方，建筑的幕后。,小小吐氣的地方，建築的幕後。,A place that exhales a little. The building's backstory.,A place that exhales a little. The building's backstory.,A place that exhales a little. The building's backstory.,A place that exhales a little. The building's backstory.,Un lugar que exhala un poco. La historia tras el edificio.,A place that exhales a little. The building's backstory.,"Место, которое немного выдыхает. Закулисье здания."
desc_vent_medium,,Lets air out moderately. Its presence is modest.,ほどほどに空気を逃がす。存在感は控えめ。,适度排气，存在感低调。,適度排氣，存在感低調。,Lets air out moderately. Its presence is modest.,Lets air out moderately. Its presence is modest.,Lets air out moderately. Its presence is modest.,Lets air out moderately. Its presence is modest.,Deja salir el aire con moderación. Su presencia es discreta.,Lets air out moderately. Its presence is modest.,Выпускает воздух умеренно. Присутствие скромное.
desc_vent_large,,A serious size for ventilation. The sound is part of the job.,しっかり換気する本気サイズ。音も仕事。,认真换气的尺寸，声音也是工作。,認真換氣的尺寸，聲音也是工作。,A serious size for ventilation. The sound is part of the job.,A serious size for ventilation. The sound is part of the job.,A serious size for ventilation. The sound is part of the job.,A serious size for ventilation. The sound is part of the job.,Un tamaño serio para la ventilación. El sonido es parte del trabajo.,A serious size for ventilation. The sound is part of the job.,Серьёзный размер для вентиляции. Шум — часть работы.
desc_hand_pulled_food_cart,,A cart you pull along. The story starts when it stops.,引いて歩く屋台。止まると物語が始まる。,拉着走的摊车，停下来故事就开始。,拉著走的攤車，停下來故事就開始。,A cart you pull along. The story starts when it stops.,A cart you pull along. The story starts when it stops.,A cart you pull along. The story starts when it stops.,A cart you pull along. The story starts when it stops.,Un carrito que se tira a mano. La historia empieza cuando se detiene.,A cart you pull along. The story starts when it stops.,"Тележка, которую тянут. История начинается, когда она останавливается."
desc_storage_shed,,Reassuring storage for anything. Usually cluttered.,何でもしまえる安心感。だいたい雑多。,什么都能收的安心感，通常很杂乱。,什麼都能收的安心感，通常很雜亂。,Reassuring storage for anything. Usually cluttered.,Reassuring storage for anything. Usually cluttered.,Reassuring storage for anything. Usually cluttered.,Reassuring storage for anything. Usually cluttered.,Un almacenamiento tranquilizador para cualquier cosa. Normalmente desordenado.,Reassuring storage for anything. Usually cluttered.,Успокаивающее хранилище для всего. Обычно захламлено.
desc_tall_fence,,Safer when it cannot be crossed. Height is a statement.,越えられないほうが安心する。高さは意思表示。,越不过去反而安心，高度就是态度。,越不過去反而安心，高度就是態度。,Safer when it cannot be crossed. Height is a statement.,Safer when it cannot be crossed. Height is a statement.,Safer when it cannot be crossed. Height is a statement.,Safer when it cannot be crossed. Height is a statement.,Más seguro cuando no se puede cruzar. La altura es una declaración.,Safer when it cannot be crossed. Height is a statement.,"Спокойнее, когда не перелезть. Высота — заявление."
desc_ladder,,An option for going up. Watch your step.,上へ行くための選択肢。足元注意。,往上的选择，脚下注意。,往上的選擇，腳下注意。,An option for going up. Watch your step.,An option for going up. Watch your step.,An option for going up. Watch your step.,An option for going up. Watch your step.,Una opción para subir. Cuidado con el paso.,An option for going up. Watch your step.,Вариант подняться вверх. Смотри под ноги.
,,,,,,,,,,,,
,,,,,,,,,,,,
desc_small_tree,,A small tree rooted on the rooftop. First to react to the wind.,屋上に根を下ろした小さな木。風に一番先に反応する。,屋顶扎根的小树，最先回应风。,屋頂扎根的小樹，最先回應風。,A small tree rooted on the rooftop. First to react to the wind.,A small tree rooted on the rooftop. First to react to the wind.,A small tree rooted on the rooftop. First to react to the wind.,A small tree rooted on the rooftop. First to react to the wind.,Un arbolito enraizado en la azotea. El primero en reaccionar al viento.,A small tree rooted on the rooftop. First to react to the wind.,"Небольшое дерево, укоренившееся на крыше. Первым реагирует на ветер."
desc_large_tree,,A presence that casts a shadow. Quietly teaches the seasons.,影を落とすほどの存在感。季節の移ろいを黙って教える。,能投下阴影的存在，默默告诉你季节变化。,能投下陰影的存在，默默告訴你季節變化。,A presence that casts a shadow. Quietly teaches the seasons.,A presence that casts a shadow. Quietly teaches the seasons.,A presence that casts a shadow. Quietly teaches the seasons.,A presence that casts a shadow. Quietly teaches the seasons.,Una presencia que proyecta sombra. Enseña las estaciones en silencio.,A presence that casts a shadow. Quietly teaches the seasons.,"Присутствие, отбрасывающее тень. Молча учит смене сезонов."
desc_weeds,,Life force that multiplies before you notice. Fine even if left alone.,気づくと増えている生命力。放っておいても元気。,不知不觉就会增多的生命力，放着也很精神。,不知不覺就會增多的生命力，放著也很精神。,Life force that multiplies before you notice. Fine even if left alone.,Life force that multiplies before you notice. Fine even if left alone.,Life force that multiplies before you notice. Fine even if left alone.,Life force that multiplies before you notice. Fine even if left alone.,Fuerza vital que se multiplica antes de que te des cuenta. Está bien incluso si la dejas.,Life force that multiplies before you notice. Fine even if left alone.,"Жизненная сила, умножающаяся, пока не заметишь. Ей хорошо и без ухода."
desc_small_plant_a,,A small home for greenery. Morning light suits it.,小さな緑の居場所。朝の光が似合う。,小小绿意的栖身处，很适合晨光。,小小綠意的棲身處，很適合晨光。,A small home for greenery. Morning light suits it.,A small home for greenery. Morning light suits it.,A small home for greenery. Morning light suits it.,A small home for greenery. Morning light suits it.,Un pequeño hogar para el verde. La luz de la mañana le sienta bien.,A small home for greenery. Morning light suits it.,Маленький дом для зелени. Утренняя свет ему подходит.
